s.no,text,AIRLINE SENTIMENT,AIRLINE
33,"@VirginAmerica Many Thanks for the Follow.
#ourprincess #freyasfund #USA #Bandie 
Looking for Any Help_Ÿ˜ç
_Ÿ’—_Ÿ‡¬_Ÿ‡§_Ÿ’—_Ÿ‡º_Ÿ‡¸_Ÿ’—
_Ÿ_€_ŸŒè_Ÿ_€ http://t.co/UJfS9Zi6kd",,Virgin America
34,"@VirginAmerica Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd",,Virgin America
35,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly _Ÿ˜¥,,Virgin America
36,@VirginAmerica is my new go to airline,,Virgin America
37,"@VirginAmerica @VirginAtlantic @GMA @AmericanAir 
Can You Help #ourprincess in need of some help in #USA 
_Ÿ_€_Ÿ‡¬_Ÿ‡§_Ÿ_€_Ÿ‡º_Ÿ‡¸_Ÿ_€ http://t.co/778AzTDaer",,Virgin America
38,"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks.",,Virgin America
39,@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.,,Virgin America
40,@VirginAmerica Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica,,Virgin America
41,@VirginAmerica trying to check-in...but looks like your site is down?,,Virgin America
42,"@VirginAmerica spending my birthday night with you, DAL-DCA. Get me home!",,Virgin America
43,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.,,Virgin America
44,"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!",,Virgin America
45,"@VirginAmerica seriously, though. will there not be direct flights from SFO-FLL in may???",,Virgin America
46,@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3,,Virgin America
47,"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board",,Virgin America
48,"@VirginAmerica
wjere is our luggage #so slow at lax",,Virgin America
49,@VirginAmerica to jump into the #Dallas #Austin market http://t.co/SzR0pioA21,,Virgin America
50,"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well",,Virgin America
51,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,,Virgin America
52,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome",,Virgin America
53,@virginamerica.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo,,Virgin America
54,@VirginAmerica partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa,,Virgin America
55,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf",,Virgin America
56,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!",,Virgin America
57,@VirginAmerica i would like help with some flights please.,,Virgin America
58,Bruh â€œ@VirginAmerica: @giannilee Turn down for what. #VXSafetyDanceâ€ù,,Virgin America
59,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!,,Virgin America
60,@VirginAmerica ok! first time flying with you tonight :),,Virgin America
61,@virginamerica Digging the swanky pink mood lighting during the flight from NYC to SFO.  Just needs a cabaret singer.  Think about it!,,Virgin America
62,"@VirginAmerica Done, but I need the receipt ASAP. Could you please help? #150219-000114",,Virgin America
63,"@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn",,Virgin America
64,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.,,Virgin America
65,@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.,,Virgin America
66,@VirginAmerica got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. _Ÿ˜‰,,Virgin America
67,@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!,,Virgin America
68,@VirginAmerica delayed to10.30!!,,Virgin America
69,@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?,,Virgin America
70,"@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race 
http://t.co/SfjDuahx9Z by @skift",,Virgin America
71,â€œ@VirginAmerica: @KarinSLee Of course. Have fun celebrating!â€ù Thanks! Happy Chinese New Year!,,Virgin America
72,@VirginAmerica  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys,,Virgin America
73,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank,,Virgin America
74,"@VirginAmerica I just did, how can I DM? Do u have to also add me?",,Virgin America
75,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines.",,Virgin America
76,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,,Virgin America
77,"@VirginAmerica Anytime, sugafly.",,Virgin America
78,@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!,,Virgin America
79,@VirginAmerica I need a receipt for a flight change. Can you send one?,,Virgin America
80,"@VirginAmerica, I submitted a status match request a while back and still havenâ€™t heard! Iâ€™m flying on Monday. Can you look / accelerate?",,Virgin America
81,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd,,Virgin America
82,@VirginAmerica that doesn't look to fat to me! It looks yummy!,,Virgin America
83,"@VirginAmerica CEO says #Southwest &amp; #jetblue have strayed from low cost model.
http://t.co/96Sctomh29",,Virgin America
84,@VirginAmerica a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6,,Virgin America
85,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE,,Virgin America
86,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/DCoBoKN7EE @TheNationalUAE,,Virgin America
87,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/vw4P4T4tLh @TheNationalUAE,,Virgin America
88,@VirginAmerica omg omg_Ÿ˜ç_Ÿ˜ç nonstop Dallas to Austin on virginâœ¨_Ÿ˜±âœˆï¸è,,Virgin America
89,@VirginAmerica Your planes are really pretty. Just thought u should know that. :),,Virgin America
90,@VirginAmerica when are you flying to hawaii,,Virgin America
91,@VirginAmerica I'm pulling my hair out trying to book a flight with u. Your site doesn't work on iPhone or iPad.don't have a computer #help,,Virgin America
92,@VirginAmerica thank you,,Virgin America
93,@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!,,Virgin America
94,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI,,Virgin America
95,@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!   Let me out of here!,,Virgin America
96,@VirginAmerica I am in seat 4C and I cannot even open my laptop; and I paid extra for this seat!!,,Virgin America
97,.@VirginAmerica If only you guys were starting those flights at the end of the month! Guess Iâ€™m still road tripping on Feb 27â€_,,Virgin America
98,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!",,Virgin America
99,"@VirginAmerica announced New Route to Austin w/fares from $39/way. 
http://t.co/gA8pbamu0C",,Virgin America
100,@VirginAmerica Really? Sprint? I thought you guys were 'kewl'! 0_0,,Virgin America
101,@VirginAmerica this is too cool!  Never been on ur planes but now I will!!,,Virgin America
102,@VirginAmerica you should have 39 dollar LAX-Las fares!!!,,Virgin America
103,@VirginAmerica great. Well deserved.,,Virgin America
104,@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.,,Virgin America
105,@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!,,Virgin America
106,@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.,,Virgin America
107,@VirginAmerica You should still develop an app - then you will be my favorite airline.,,Virgin America
108,@VirginAmerica all crap channels which is why I pay to watch UK tv,,Virgin America
109,@VirginAmerica got it. All set - Thanks!,,Virgin America
110,@VirginAmerica no A's channel this year?,,Virgin America
111,@VirginAmerica Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?,,Virgin America
112,@VirginAmerica Giants and Virgin America. A match made in heaven.,,Virgin America
113,"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!",,Virgin America
114,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.,,Virgin America
115,@VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. #apostrophefail,,Virgin America
116,@VirginAmerica When will VX use all 6 LGA slots instead of 4 today? Adding AUS makes this less likely :(,,Virgin America
117,@VirginAmerica is helping me step up my @Tinder game! #TinderTips #tinderchamp http://t.co/jBmVVha63A,,Virgin America
118,@VirginAmerica I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker,,Virgin America
119,@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!,,Virgin America
120,"@VirginAmerica announces new nonstop connecting @AUStinAirport &amp; @DallasLoveField, $39 intro: http://t.co/qXnOaQtYN8 http://t.co/JK7qmdfqgf",,Virgin America
121,@VirginAmerica adds Austin-Dallas Love Field route. http://t.co/XWJoL55FLH http://t.co/Y8AOrMfkaC,,Virgin America
122,@VirginAmerica sad to learn you no longer fly SFO &gt; PHL. Hope it returns!,,Virgin America
123,"@VirginAmerica - can you tweet me the Cancelled Flight/chng fee for a flight? or can I rebook under one of your affiliates? If so, who are afiliates?",,Virgin America
124,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!,,Virgin America
125,"@VirginAmerica Now, when will we see VirginAmerica come to Philadelphia (PHL).",,Virgin America
126,"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?",,Virgin America
127,@VirginAmerica OMG FINALLY,,Virgin America
128,@VirginAmerica to start 5xweekly #A319 flights from to #Dallas @DallasLoveField #Austin on 28APR #avgeek,,Virgin America
129,@VirginAmerica Nice to see you expanding in Texas but don't forget about us here in #SanDiego. I would love to see more flights out of here!,,Virgin America
130,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers,,Virgin America
131,@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.,,Virgin America
132,"@VirginAmerica to battle @SouthwestAir on @DallasLoveField-@AUStinAirport route 
http://t.co/6RLz0EBk2X via @usatoday",,Virgin America
133,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!,,Virgin America
134,@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49,,Virgin America
135,@VirginAmerica I miss the #nerdbird in San Jose,,Virgin America
136,"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes.",,Virgin America
137,@VirginAmerica â€‹ is flying from Love to Austin now. That is most excellent news.,,Virgin America
138,@VirginAmerica can we make every VX plane with #nerdbird? Why should Austin be the only one getting nerd love?,,Virgin America
139,@VirginAmerica please add more frequency to PDX Portland,,Virgin America
140,@VirginAmerica Congrats VX on the new route! âœˆï¸è_Ÿ_‰,,Virgin America
141,"@VirginAmerica I tried that. You offered to charge me an additional $1k for a new ticket or be stranded until Thurs. 1st time, last time.",,Virgin America
142,@VirginAmerica @AmericanAir can u help with flights to get a 2y old battling cancer who needs treatment in _Ÿ‡º_Ÿ‡¸ @FreyaBevan_Fund _Ÿ’— _Ÿ_€ _Ÿ’—,,Virgin America
143,"@VirginAmerica Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?",,Virgin America
144,@VirginAmerica Had to spend 5 hours worrying that items in carryon would be broken/stolen since I couldn't carry them on plane or lock bag.,,Virgin America
145,"@VirginAmerica All of group E was told there was no more room in the bins. when I got on the plane, was room for at least 4 bags in my row!",,Virgin America
146,@VirginAmerica Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. (1),,Virgin America
147,@VirginAmerica I have lots of flights to book and your site it not working!!!! I've been on the phone waiting for over 10 minutes..........,,Virgin America
148,@VirginAmerica I am all about the in flight artisanal cheese and wine pairing.,,Virgin America
149,@VirginAmerica does Virgin America fly direct from Seattle to NYC or Boston?,,Virgin America
150,@VirginAmerica That's classy.,,Virgin America
151,@VirginAmerica I'm sure a lot of your 747 and 777 JFK-LHR flights go a lot faster than 513mph with a strong tailwind.,,Virgin America
152,@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks _Ÿ˜ƒ_Ÿ‘ç,,Virgin America
153,@VirginAmerica save some for 871 tomorrow AM!,,Virgin America
154,@VirginAmerica Why is it taking 12 years to fly home to Dallas? Get your shit together.,,Virgin America
155,@VirginAmerica @JezzieGoldz club Virgin is bumping in New York http://t.co/HaQc7GDg7c,,Virgin America
156,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather,,Virgin America
157,@VirginAmerica is that #thestarter??_Ÿ˜Å,,Virgin America
158,@VirginAmerica ...Please come to Minneapolis St. Paul!,,Virgin America
159,@VirginAmerica YES FYI  MY BFF,,Virgin America
160,"@VirginAmerica another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?",,Virgin America
161,"Nice RT @VirginAmerica: The man of steel might be faster, but we have WiFi â€“ just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX",,Virgin America
162,@VirginAmerica I love the dancing little richard. cool beans.,,Virgin America
163,@VirginAmerica I donâ€™t use Passbook =/ I still love you though &lt;3 :) Iâ€™ll just use my email in the future.,,Virgin America
164,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!,,Virgin America
165,@VirginAmerica do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt;/3,,Virgin America
166,@VirginAmerica Man of steel flies to more cities though...and with more frequency too.,,Virgin America
167,@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h,,Virgin America
168,@VirginAmerica Good point!,,Virgin America
169,.@VirginAmerica I heard he has a virgin mobile hotspot ;),,Virgin America
170,@VirginAmerica you got cheese pLate Flights too.,,Virgin America
171,@VirginAmerica On all your flights?,,Virgin America
172,@VirginAmerica Dad on Segway is the best part of this whole infographic!,,Virgin America
173,@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :),,Virgin America
174,@VirginAmerica wifi AND better seating.,,Virgin America
175,@VirginAmerica how come ABC is the only one of the network channels you don't have?,,Virgin America
176,@VirginAmerica started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.,,Virgin America
177,".@VirginAmerica not only was it great, but you return my calls the day after. Couldn't ask for more. #myVXexperience",,Virgin America
178,"@VirginAmerica While other airlines weren't Cancelled Flighting flights into BOS, and helping their customers get home, Virgin was saying Good luck!",,Virgin America
179,"@VirginAmerica Dear Virgin customer, while you're stranded in SF for 3 days &amp; $1000cost- we'll do the very least we can to accommodate you!",,Virgin America
180,@VirginAmerica should use this in their next airline commercial lol :: http://t.co/pXEXIlSjBs,,Virgin America
181,@VirginAmerica Grouping Virgin in with the others now. BOS weather has exposed their actual Cus Serv model. Never Flight Booking Problems with Virgin again!,,Virgin America
182,"@VirginAmerica As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers.",,Virgin America
183,@VirginAmerica Umm so no reason as to why this is? Is there someone different I should contact (or contact me) to get a definitive answer?,,Virgin America
184,@virginamerica Trying to make the change in advance (not just 24 hours prior)â€_tried it online earlier and it wanted $300 in change fees.,,Virgin America
185,"@VirginAmerica so loyal that I'm driving to #NYC from #PA, to fly Virgin,  since you cut #Philly flights ;)",,Virgin America
186,@virginamerica Any way to change from Main Cabin to Main Cabin Select (on same flight) without paying a change fee penalty?,,Virgin America
187,@VirginAmerica you guys are perfect as always! &lt;3 #WeRVirgin,,Virgin America
188,@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.,,Virgin America
189,@VirginAmerica Can you give me Silver Status for 12 months?,,Virgin America
190,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings,,Virgin America
191,"@VirginAmerica mood lighting on point_Ÿ™Œ Reclining my seat, kickin up my feet_Ÿ’_",,Virgin America
192,@VirginAmerica my flight (6000) scheduled for 1pm departure still says on time but no plane at gate. Any update on how long of a delay?,,Virgin America
193,@VirginAmerica my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for 2/18? Your reps were no help either _Ÿ˜¡,,Virgin America
194,@VirginAmerica Are there any sign up bonuses to enroll in Elevate?,,Virgin America
195,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome,,Virgin America
196,@VirginAmerica morning. If I have a question regarding elevate points &amp; flights can I DM you?,,Virgin America
197,@VirginAmerica still waiting to see  @Starryeyes_Dev_  _Ÿ˜_,,Virgin America
198,@VirginAmerica was wondering if you guys recieved my dm and we're able to potentially respond asap,,Virgin America
199,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.,,Virgin America
200,â€œ@VirginAmerica: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckcâ€ù @JenniferDawnPro,,Virgin America
201,@united stuck here in IAH waiting on flight 253 to Honolulu for 7 hours due to maintenance issues. Could we have gotten a new plane!?!? Fail,,United
202,@united @UnitedAppeals @gg8929 What kind of hypocrisy is that? Only Cancelled Flightling tickets with bad exchange rate if in your advantage #united,,United
203,@united No. The entire problem here is that I was never sent anything via email and only given a Flight Booking Problems number over the phone.,,United
204,@united calling that number was useless. Heading to the airport now to pick up my bags. this whole situation seems like a real joke.,,United
205,@united They couldn't get me first class on any of their flights so I just rebooked myself.,,United
206,@united but the gate agent and club staff got me priority standby for next so might only be minor disaster...#travelingwithsmallkids,,United
207,@united I'll be sending/posting complete details of the circumstances surrounding this matter.  United airlines should be ashamed.,,United
208,@United Hidden City forces me into crappy seat even though exit row is available on the first leg. Your support cannot fix. :-(,,United
209,@united JT thanks for your help Iâ€™ll complete the form once we are back home,,United
210,"@united missed it.  Incoming on time, then Sat for 30, then no jetbridge driver...missed a 45min connection from an on time flight...",,United
211,@united @gg8929 Ladies and gents - United Airlines...,,United
212,@united You might be dealing with frustrated passenegers. hope you all have a great day :) thank you very much for an amazing airline :),,United
213,@united Allright! Last question : the power outlets on my flight are available in the premium cabin. Does that include economy plus cabin?,,United
214,"@united Well, It's LA and then a 2hr+ car ride to a dark Palm Springs technically. Maybe I'll get bumped to 1st class Den to PHL on Friday:)",,United
215,@united yes still need assistance I don't have a flight home due to change in flight u made I miss all connections !,,United
216,@united I believe you have to follow me in order for me send you a DM,,United
217,@united thanks! We would like an apology and a full refund. Please confirm when we will receive.,,United
218,"@united Hi, can you email me here so i can share the details? Thanks. frank@postsecret.com",,United
219,@united But I got a bad exchange rate so want my money back. Please can you refund without penalty.,,United
220,"@united My flight UA1159 to Denver for #RMOUG15 has been re-cheduled 5 times.
If I am no show, you'll know why! Ridiculous.",,United
221,@united you're just using automated  responses and don't have the decency to actually care/respond,,United
222,@united JT the issue is with missed connections early gate closings and zero concern from customer service,,United
223,"@united here I was thinking how I could say so many nice things after getting upgraded, but then you delayed my flight... It's ok!",,United
224,@united Can you explain how it rewards us elite Premiere 1K members?,,United
225,@united for our birthdays my fiancÃ© &amp; I want to travel Late Flight April. You're our fave airline but Frontier has this: http://t.co/uayWrr45as :-/,,United
226,@united Iâ€™m resending the confirmation code in a DM,,United
227,@united I did DM the details back on 02/14 when this started with phone number to reach me no reply either online or by phone,,United
228,@United Airlines' CEO Jeff Smisek: Disloyal to Loyal Workers http://t.co/0cevY3P42b via @HuffPostBiz,,United
229,"@united The guidelines say 10x9x17, my bag is 20x15.7x8.7, so it's a bit taller than the guidelines. Is that gonna be a problem?",,United
230,@united thank you! I wish the lady in Little Rock had told me that in the morning when I asked her,,United
231,@united no claim number. Haven't been back to iAd baggage since. Is there a phone I can call to speak to someone?,,United
232,"@united do you think there Will problems at Newark, NJ on Saturday due to expected snow?",,United
233,@united Got it.  I am following the United page.,,United
234,"@united Thank you for the speedy response! I figured it may be something of that nature. You guys and your ""fine print,"" haha",,United
235,@united worst service ever _Ÿ˜ˆ,,United
236,@united thanks for your attention. I would actually like to make a specific complaint about customer service at DCA. What is my best option?,,United
237,@united can't believe United can't find someone to just simply check a seat back for a missing passport. Loved United but debating choice,,United
238,@united I am furious.  You're firm is a disgrace. Despite all our efforts you did zero to protect our daughter. All alone at night # United,,United
239,@united holy high speed internet batman!  Speeds at United Club at IAD are insanely fast!  Thanks,,United
240,@united Your website Flight Booking Problems experience is an obnoxious upsell-laden disaster for anyone with half a brain.,,United
241,@united  @MrAndyEp like 2 weeks after my flight!?!? Creative!,,United
242,@united Flt 4487 is having some MAJOR delays bc ground crew was so SLOW. The flight crew has been terrific. Been 2 hours on the ground.._Ÿ˜¡...,,United
243,"@united sorry, I hate united. i won't get to see my family until Thursday",,United
244,@united Thanks for the timely service &amp; great staff getting my wife and me to and from Cancun this past week for our honeymoon.,,United
245,"@united done just now, thanks.",,United
246,@united Currently on standby to Lax then it is a 2 hour ride to Palm Springs. Long day starting at a snowy 3:30 am in philly.,,United
247,"@United Your customer service for Mileage Plus customers is a disgrace. I just spent 45 min on the phone to reset a pin number, with no luck",,United
248,"@united No, I do not. I was only given a Flight Booking Problems reference number.",,United
249,@united All these changes. Way to stick it to your Premiere 1K loyal customers. Why make things harder for those that loyal to you?,,United
250,"@united thanks for the offer, but I finally made it to my destination, albeit hours Late Flight.",,United
251,@United Airlines Cancelled Flights OC FLL #flight today. $700 to switch. No notice no apology. We are done flying #UnitedAirlines.,,United
252,@united can you send me another confirmation email?,,United
253,@united it would be super if you paid as much attention to actual fliers as you do to credit card holders.,,United
254,@united I travel a lot and I get it. You're still my fave but EWR to Cleveland w/40 min layover to connect to DC = our best option? Come on.,,United
255,"@united 3pm and my bags still not here. not even a courtesy toiletries kit. not the flight experience I was expecting, very disappointed.",,United
256,@United Airlines Cancelled Flights OC FLL #flight today. $700 to switch. No notice no apology. Done flying #UnitedAirlines.,,United
257,"@united sorry, wrong link for the bag : http://t.co/pZAl4wtrEZ Thats the one i meant",,United
258,"@united flight 86 LAX-IAD, back rows NOT CLEANED prior to boarding. How gross is that to find used tissues in your seat?  Please.",,United
259,@united thank you! _Ÿ˜_,,United
260,"@united take a lesson from @VirginAmerica , they know how to treat customers!",,United
261,@united plus you horrible seating and poor customer service everywhere I've flown. now you take away the mileage program..horrible,,United
262,@united you'd learn if you listen to your customers...you do want you want...@VirginAmerica asks their customer what they want,,United
263,@united customer service _Ÿ‘_,,United
264,@united Priceless. United stranded my daughter at O'Hare. United did zero to keep her safe.....alone on a plastic chair for 9h! # United Air,,United
265,"@united Hi again, any updates here?",,United
266,@united Could you tell me if this bag would be accepted as a personal item ? Can i bring one carry-on bag plus this? http://t.co/U390cZpLHl,,United
267,@united 3359 which you finally Cancelled Flightled.,,United
268,.@united what link? Those are all the email offers u sent me in a year to buy/transfer miles.The last 1 just expired http://t.co/ZZPs5ywVE2,,United
269,@united thanks finally made it.. Missed meetings but what can I do now?,,United
270,@united Our flight was originally supposed to leave at 1:40pm &amp; now we won't leave until 5. This is the 2nd time this has happened,,United
271,"@united Supposedly, they're out for delivery. I'll believe it when I see it.",,United
272,"@united Thank you. Yes, I was hoping to speak with someone directly, but appreciate the link nonetheless. :)",,United
273,@united Sure did! Only waited about 15min. Yay!,,United
274,"@united Hi JH, my experience with United has been entirely disgusting but yes, I'd like assistance in getting compensated for my bag.",,United
275,@united took this picture on Thursday. #awesome http://t.co/IVGpZSjtkW,,United
276,@united probably wouldn't be doing it had someone returned my call or email. Case number 8273993,,United
277,"@united I can't even fit my name on the first two lines, yes... Please do pass on feedback. This is a big downgrade from previous years.",,United
278,Is expiring the @united offer to buy or transfer #United #MileagePlus miles with discount? Many offers during a year http://t.co/6tz6imqZlG,,United
279,"@united no, it was 2 flight Cancelled Flightlations (one due to weather, one mechanical) paid own hotel, bag held in transfer. No voucher/compensation",,United
280,@united i got email that my reservations got Cancelled Flightled and i will be refunded.  Nothing got refunded as of yet,,United
